time,gFx,gFy,gFz,TgF
0.014704,0.9974,0.0268,-0.1308,1.01
0.035580,0.9867,0.0581,-0.1152,1.00
0.051665,0.9842,0.0717,-0.1010,0.99
0.077094,0.9788,0.0576,-0.0863,0.98
0.094120,0.9735,0.0405,-0.0819,0.98
0.117339,0.9652,0.0282,-0.0932,0.97
0.135463,0.9730,0.0243,-0.1005,0.98
0.152883,0.9969,0.0273,-0.1103,1.00
0.180556,0.9881,0.0302,-0.1123,0.99
0.192981,0.9784,0.0121,-0.1069,0.98
0.217491,0.9529,0.0243,-0.0937,0.96
0.234313,0.9480,0.0253,-0.0844,0.95
0.259971,0.9652,0.0331,-0.0937,0.97
0.275268,0.9764,0.0434,-0.1054,0.98
0.292848,0.9989,0.0473,-0.1098,1.01
0.318589,0.9911,0.0326,-0.1137,1.00
0.335427,0.9749,0.0185,-0.1225,0.98
0.364841,0.9696,0.0101,-0.1230,0.98
0.377617,0.9705,0.0145,-0.1215,0.98
0.393455,0.9656,0.0214,-0.1162,0.97
0.419060,0.9603,0.0370,-0.1167,0.97
0.435204,0.9476,0.0385,-0.1171,0.96
0.465374,0.9461,0.0375,-0.1113,0.95
0.475279,0.9451,0.0356,-0.1069,0.95
0.501752,0.9564,0.0351,-0.0922,0.96
0.518851,0.9774,0.0341,-0.1039,0.98
0.535517,0.9842,0.0346,-0.1206,0.99
0.565690,0.9544,0.0429,-0.1523,0.97
0.576446,0.9500,0.0453,-0.1519,0.96
0.602755,0.9632,0.0449,-0.1372,0.97
0.618297,0.9661,0.0229,-0.1264,0.97
0.643211,0.9534,-0.0299,-0.1132,0.96
0.666408,0.9813,-0.0759,-0.1435,0.99
0.683491,1.0008,-0.0974,-0.1636,1.02
0.703154,1.0150,-0.1013,-0.1729,1.03
0.719400,0.9984,-0.0700,-0.1699,1.02
0.742972,0.9520,0.0116,-0.1577,0.97
0.764880,0.8962,0.0581,-0.1377,0.91
0.785594,0.8816,0.0537,-0.1220,0.89
0.800771,0.8850,0.0380,-0.1215,0.89
0.826634,0.8923,0.0214,-0.1538,0.91
0.843131,0.8933,0.0077,-0.1748,0.91
0.864546,0.9397,0.0199,-0.2408,0.97
0.883724,1.0800,0.0849,-0.3093,1.13
0.901451,1.1861,0.1206,-0.3059,1.23
0.925731,1.0659,0.0879,-0.2687,1.10
0.943172,0.9309,0.0556,-0.2550,0.97
0.966474,0.7633,0.0204,-0.1377,0.78
0.983641,0.7065,-0.0075,-0.0604,0.71
1.002354,0.6943,-0.0109,-0.0101,0.69
1.026591,0.7989,0.0136,-0.0404,0.80
1.043481,0.8987,0.0424,-0.1206,0.91
1.069005,1.0380,0.1104,-0.2760,1.08
1.085680,1.0830,0.1035,-0.3249,1.14
1.110820,1.0424,0.0918,-0.3777,1.11
1.128042,0.9461,0.0879,-0.3318,1.01
1.151858,0.7892,0.0786,-0.2276,0.83
1.173969,0.6210,0.0825,-0.1704,0.65
1.185192,0.5623,0.0840,-0.1455,0.59
1.210098,0.4900,0.0845,-0.0947,0.51
1.227261,0.4778,0.0771,-0.1118,0.50
1.251711,0.4866,0.0331,-0.2491,0.55
1.273084,0.7300,0.0067,-0.2912,0.79
1.291729,0.9451,-0.0324,-0.3963,1.03
1.309918,1.1759,-0.1057,-0.5425,1.30
1.326571,1.1715,-0.0187,-0.6681,1.35
1.350721,1.0121,0.0874,-0.5679,1.16
1.373521,0.8825,0.1353,-0.3978,0.98
1.391726,0.8410,0.1392,-0.3171,0.91
1.409989,0.8141,0.1006,-0.2658,0.86
1.434348,0.8488,0.0028,-0.2931,0.90
1.451019,0.8469,-0.0427,-0.3318,0.91
1.473141,0.8469,-0.1106,-0.3401,0.92
1.490714,0.8591,-0.1131,-0.3777,0.95
1.509449,0.8845,-0.0906,-0.3850,0.97
1.534855,0.9109,-0.0265,-0.3630,0.98
1.550941,0.9388,-0.0045,-0.3381,1.00
1.572550,0.9568,0.0150,-0.3787,1.03
1.592062,0.9168,0.0106,-0.4339,1.01
1.610573,0.9124,-0.0153,-0.4706,1.03
1.634834,0.9055,-0.0221,-0.5073,1.04
1.657521,0.9265,-0.0138,-0.4911,1.05
1.674570,0.9236,0.0385,-0.4828,1.04
1.691847,0.9436,0.0771,-0.4701,1.06
1.716458,0.9989,0.0629,-0.4936,1.12
1.733121,0.9828,0.1025,-0.4994,1.11
1.759762,0.9842,0.1764,-0.4745,1.11
1.780818,1.0287,0.2389,-0.4041,1.13
1.801259,1.2018,0.2917,-0.2462,1.26
1.817679,1.3059,0.3631,-0.1748,1.37
1.832944,1.4032,0.3396,-0.1255,1.45
1.858608,1.5332,0.1451,-0.1230,1.54
1.883902,1.4418,0.0141,-0.1519,1.45
1.899550,1.3289,-0.0451,-0.0976,1.33
1.917865,1.1798,-0.1140,0.0647,1.19
1.942269,0.9720,-0.1043,0.2207,1.00
1.958653,0.9143,-0.0089,0.1596,0.93
1.982441,0.9265,0.1309,-0.0834,0.94
1.999882,0.9026,0.1788,-0.1880,0.94
2.017898,0.8718,0.1627,-0.1748,0.90
2.042341,0.8356,0.0615,-0.0355,0.84
2.060003,0.8395,-0.0412,0.0848,0.84
2.083450,0.8869,-0.1737,0.1840,0.92
2.099351,0.8977,-0.2783,0.1830,0.96
2.116468,0.9011,-0.3697,0.2133,1.00
2.141620,0.9808,-0.4421,0.1820,1.09
2.159737,1.0395,-0.4558,0.1718,1.15
2.181319,0.9901,-0.4494,0.1630,1.10
2.199940,0.9500,-0.4064,0.1116,1.04
2.218269,0.9617,-0.3174,0.1028,1.02
2.241138,0.9598,-0.2206,0.0672,0.99
2.258112,0.9319,-0.1693,0.0711,0.95
2.282903,0.9348,-0.1790,0.0823,0.96
2.297984,0.9109,-0.1922,0.0896,0.94
2.326076,0.8527,-0.3585,0.0980,0.93
2.341531,0.8092,-0.3990,0.1361,0.91
2.372191,0.7584,-0.4528,0.2661,0.92
2.381546,0.7403,-0.5002,0.2823,0.94
2.409299,0.7271,-0.6058,0.2568,0.98
2.425373,0.7261,-0.5897,0.2847,0.98
2.440209,0.7344,-0.5477,0.3356,0.98
2.471748,0.7246,-0.5609,0.4866,1.04
2.482570,0.7246,-0.5701,0.5238,1.06
2.507122,0.7452,-0.7070,0.5355,1.16
2.526240,0.6973,-0.6973,0.4407,1.08
2.542242,0.7017,-0.6181,0.3986,1.02
2.570995,0.6797,-0.4646,0.4641,0.95
2.583122,0.6034,-0.4460,0.4979,0.90
2.607156,0.3629,-0.4606,0.5653,0.81
2.624812,0.2294,-0.5149,0.6411,0.85
2.649522,0.0974,-0.6381,0.6822,0.94
2.667115,0.0451,-0.7197,0.6861,1.00
2.689981,0.0705,-0.7985,0.7203,1.08
2.705888,0.0906,-0.8351,0.7174,1.10
2.727262,0.0803,-0.8659,0.6988,1.12
2.749828,0.0974,-0.8561,0.7154,1.12
2.766927,0.1052,-0.8112,0.7086,1.08
2.788028,0.0705,-0.7017,0.6543,0.96
2.806251,0.0749,-0.6694,0.7232,0.99
2.832524,0.0241,-0.6713,0.8787,1.11
2.850210,-0.0556,-0.6875,0.9163,1.15
2.879646,-0.0502,-0.6366,0.8860,1.09
2.888590,-0.0468,-0.6342,0.8885,1.09
2.907550,-0.0400,-0.6420,0.9246,1.13
2.932441,-0.0757,-0.6078,0.8963,1.09
2.949143,-0.0820,-0.5261,0.8591,1.01
2.979440,-0.0077,-0.3120,0.9119,0.96
2.989963,-0.0204,-0.2690,0.9212,0.96
3.015867,-0.0365,-0.2553,0.9354,0.97
3.035550,0.0739,-0.2817,0.9779,1.02
3.049811,0.2138,-0.2485,0.9985,1.05
3.079340,0.3247,-0.0695,0.9779,1.03
3.090727,0.2754,-0.0554,0.9559,1.00
3.115039,0.1522,-0.0466,0.9251,0.94
3.133509,0.1096,0.0023,0.9281,0.93
3.157355,0.1639,0.0664,0.9432,0.96
3.179086,0.2182,0.0908,0.9564,0.99
3.197802,0.1727,0.0336,0.9442,0.96
3.215612,0.0783,0.0023,0.9598,0.96
3.240047,0.0324,-0.0148,0.9559,0.96
3.255769,0.0852,-0.0006,0.9965,1.00
3.275655,0.1541,0.0483,1.0229,1.04
3.297485,0.1781,0.0429,1.0376,1.05
3.313553,0.1981,-0.0040,1.0249,1.04
3.339772,0.2656,-0.0656,0.9618,1.00
3.357004,0.2778,-0.0813,0.9691,1.01
3.378606,0.2411,-0.0881,0.9858,1.02
3.397690,0.2167,-0.0886,0.9462,0.97
3.415136,0.1800,-0.0896,0.9168,0.94
3.439976,0.1502,-0.0964,0.9393,0.96
3.456720,0.1580,-0.1170,0.9941,1.01
3.481762,0.1746,-0.1698,1.0249,1.05
3.498562,0.1991,-0.2147,0.9809,1.02
3.522554,0.2622,-0.2411,0.9017,0.97
3.539201,0.3091,-0.2304,0.8850,0.97
3.555524,0.3824,-0.2191,0.9378,1.04
3.580922,0.3775,-0.1219,0.9833,1.06
3.597089,0.3066,-0.0524,0.9823,1.03
3.623466,0.1483,-0.0197,0.9833,0.99
3.639749,0.0832,-0.0304,0.9770,0.98
3.663594,0.0387,-0.0334,0.9750,0.98
3.681702,0.0593,-0.0314,0.9682,0.97
3.706341,0.0974,-0.0471,0.9848,0.99
3.722590,0.0950,-0.0544,0.9941,1.00
3.748872,0.0544,-0.0519,1.0009,1.00
3.764724,0.0275,-0.0534,1.0073,1.01
3.786648,0.0207,-0.0475,0.9897,0.99
