time,gFx,gFy,gFz,TgF
0.017166,0.9681,0.0321,-0.1572,0.98
0.029108,0.9671,0.0326,-0.1470,0.98
0.054234,0.9622,0.0292,-0.1577,0.98
0.071480,0.9696,0.0273,-0.1587,0.98
0.102916,0.9705,0.0331,-0.1509,0.98
0.116854,0.9676,0.0331,-0.1528,0.98
0.137643,0.9725,0.0214,-0.1626,0.99
0.153940,0.9759,0.0053,-0.1670,0.99
0.176594,0.9798,0.0155,-0.1685,0.99
0.202576,0.9740,0.0414,-0.1523,0.99
0.218884,0.9539,0.0444,-0.1470,0.97
0.237356,0.9578,0.0326,-0.1411,0.97
0.253975,0.9661,0.0170,-0.1465,0.98
0.277963,0.9661,0.0077,-0.1504,0.98
0.302619,0.9642,0.0175,-0.1416,0.97
0.319565,0.9744,0.0297,-0.1362,0.98
0.336768,0.9686,0.0390,-0.1387,0.98
0.355249,0.9681,0.0321,-0.1523,0.98
0.378253,0.9705,0.0312,-0.1479,0.98
0.400864,0.9793,0.0321,-0.1523,0.99
0.421187,0.9715,0.0287,-0.1455,0.98
0.436367,0.9617,0.0268,-0.1445,0.97
0.455878,0.9593,0.0282,-0.1401,0.97
0.480889,0.9544,0.0356,-0.1421,0.97
0.501724,0.9617,0.0390,-0.1396,0.97
0.521644,0.9696,0.0380,-0.1387,0.98
0.536901,0.9700,0.0400,-0.1465,0.98
0.563435,0.9466,0.0077,-0.1817,0.96
0.579647,0.9847,0.0092,-0.1651,1.00
0.598349,0.9725,0.0522,-0.2335,1.00
0.621404,0.8596,0.0644,-0.1567,0.88
0.637782,0.9554,0.0062,-0.3049,1.00
0.662638,0.9911,-0.0021,-0.2922,1.03
0.678462,1.0116,0.0106,-0.2902,1.05
0.709334,0.9524,0.0429,-0.2785,0.99
0.719611,0.9363,0.0493,-0.2775,0.98
0.743388,0.9197,0.0556,-0.2687,0.96
0.761448,0.9207,0.0463,-0.2746,0.96
0.787266,0.9236,0.0277,-0.2980,0.97
0.808389,0.9246,0.0253,-0.3078,0.97
0.819453,0.9216,0.0253,-0.3191,0.98
0.845765,0.8982,0.0160,-0.3279,0.96
0.861925,0.8781,0.0101,-0.3293,0.94
0.887754,0.8473,0.0155,-0.3469,0.92
0.907817,0.8449,0.0126,-0.3459,0.91
0.927372,0.8561,-0.0055,-0.3323,0.92
0.946072,0.8698,-0.0270,-0.3337,0.93
0.960821,0.8679,-0.0412,-0.3455,0.94
0.987080,0.8527,-0.0373,-0.3762,0.93
1.009408,0.8263,0.0038,-0.3885,0.91
1.027983,0.8102,0.0409,-0.3826,0.90
1.045223,0.7965,0.0664,-0.3850,0.89
1.062322,0.7994,0.0688,-0.4026,0.90
1.087724,0.7833,0.0703,-0.4408,0.90
1.109548,0.7579,0.0722,-0.4564,0.89
1.129553,0.7476,0.0639,-0.4647,0.88
1.145770,0.7799,0.0390,-0.4589,0.91
1.169479,0.8772,0.0043,-0.4408,0.98
1.187108,0.8273,-0.0079,-0.4413,0.94
1.209017,0.7515,0.0023,-0.4198,0.86
1.227468,0.7755,0.0209,-0.4036,0.87
1.244286,0.7706,0.0253,-0.3850,0.86
1.270030,0.7667,0.0605,-0.3748,0.86
1.288029,0.7315,0.0942,-0.3445,0.81
1.309420,0.7359,0.1113,-0.3259,0.81
1.326893,0.7779,0.0786,-0.3254,0.85
1.353527,0.8557,0.0321,-0.3645,0.93
1.369501,0.8508,0.0717,-0.3831,0.94
1.387758,0.8469,0.1304,-0.4281,0.96
1.408998,0.8659,0.0639,-0.4853,0.99
1.426509,0.8283,0.0268,-0.4794,0.96
1.453415,0.8508,0.0527,-0.4041,0.94
1.471254,0.8855,0.1035,-0.3758,0.97
1.496149,0.8962,0.0131,-0.4677,1.01
1.518781,0.9187,-0.0950,-0.4823,1.04
1.529236,0.9109,-0.0456,-0.5581,1.07
1.554099,0.9397,0.0845,-0.5034,1.07
1.569241,0.8757,0.1294,-0.4809,1.01
1.594795,0.8327,0.0605,-0.4642,0.96
1.619803,0.8200,0.0287,-0.4295,0.93
1.628795,0.8058,0.0062,-0.4217,0.91
1.654872,0.8630,0.0087,-0.4902,0.99
1.678718,0.9456,0.1021,-0.5400,1.09
1.693915,0.9686,0.0923,-0.5503,1.12
1.717421,0.9466,0.0331,-0.5244,1.08
1.735223,0.9353,0.0023,-0.4843,1.05
1.752259,0.9285,0.0361,-0.4730,1.04
1.778672,0.8952,0.0546,-0.4261,0.99
1.793793,0.8855,0.0571,-0.4359,0.99
1.819151,0.9329,0.0126,-0.3577,1.00
1.835640,0.9759,0.0180,-0.3005,1.02
1.852876,1.0576,0.0341,-0.2379,1.08
1.877614,1.1055,0.0962,-0.1993,1.13
1.893958,1.1456,0.1016,-0.1929,1.17
1.919137,1.2873,0.1338,-0.4432,1.37
1.935454,1.1940,0.1812,-0.5112,1.31
1.952840,1.0664,0.2340,-0.3777,1.16
1.977464,0.9666,0.0331,-0.2579,1.00
1.994967,0.7994,0.0214,-0.2384,0.83
2.019952,0.9495,-0.0309,-0.2462,0.98
2.036838,0.9055,0.0185,-0.2501,0.94
2.061263,0.9104,0.0771,-0.2203,0.94
2.076908,0.9080,0.0957,-0.2355,0.94
2.095535,0.9050,0.1153,-0.2447,0.94
2.118435,0.9392,0.0884,-0.1929,0.96
2.136211,0.9559,0.0321,-0.1724,0.97
2.159799,0.9994,-0.0040,-0.1910,1.02
2.177183,1.1016,0.0009,-0.1714,1.11
2.206034,1.1866,0.0752,-0.1783,1.20
2.219097,1.2272,0.0497,-0.1245,1.23
2.244810,1.1597,-0.0050,-0.0487,1.16
2.259705,1.1216,-0.0304,-0.0169,1.12
2.277024,1.0962,-0.0031,0.0109,1.10
2.306613,1.0942,0.0336,0.0041,1.09
2.317407,1.0791,0.0395,0.0256,1.08
2.343228,1.0248,-0.0016,0.0510,1.03
2.359367,0.9930,-0.0065,0.0696,1.00
2.378345,0.9842,-0.0099,0.1043,0.99
2.406710,0.9348,0.0263,0.1669,0.95
2.418552,0.9627,0.0385,0.1708,0.98
2.442618,0.9808,0.0585,0.1561,0.99
2.461191,1.0004,0.0493,0.1336,1.01
2.485636,1.0096,0.0341,0.1297,1.02
2.507061,0.9823,0.0634,0.1468,1.00
2.525257,0.9656,0.0600,0.1620,0.98
2.543258,0.9671,0.0341,0.1845,0.99
2.559286,0.9818,0.0273,0.2026,1.00
2.585426,0.9617,0.0473,0.2358,0.99
2.599188,0.9226,0.0610,0.2436,0.96
2.623132,0.9011,0.0786,0.2637,0.94
2.642989,0.9392,0.0708,0.2925,0.99
2.667187,0.9696,0.0502,0.2275,1.00
2.684867,0.9647,0.0664,0.1840,0.98
2.702395,0.9705,0.0854,0.1728,0.99
2.723338,0.9661,0.1001,0.1816,0.99
2.741633,0.9725,0.1011,0.2197,1.00
2.767361,0.9588,0.0781,0.2549,1.00
2.784710,0.9666,0.0664,0.2564,1.00
2.814338,0.9788,0.0825,0.2412,1.01
2.824378,0.9671,0.0918,0.2348,1.00
2.845335,0.9383,0.0967,0.2231,0.97
2.867226,0.9314,0.0986,0.2392,0.97
2.885440,0.9304,0.0962,0.2515,0.97
2.915052,0.9529,0.0957,0.2564,0.99
2.925064,0.9544,0.0977,0.2436,0.99
2.950718,0.9568,0.0952,0.2246,0.99
2.967392,0.9568,0.1074,0.2168,0.99
2.985129,0.9368,0.0933,0.2647,0.98
3.014797,0.9094,0.1143,0.2876,0.96
3.026271,0.9280,0.1104,0.2788,0.98
3.052016,0.9735,0.1006,0.2172,1.00
3.066533,0.9686,0.1030,0.2036,1.00
3.085238,0.9627,0.1035,0.2256,0.99
3.114386,0.9515,0.0805,0.2412,0.98
3.133878,0.9397,0.0497,0.2353,0.97
3.149485,0.9383,0.0405,0.2368,0.97
3.167161,0.9456,0.0390,0.2348,0.98
3.191887,0.9852,0.0131,0.2300,1.01
3.214099,0.9901,0.0018,0.2368,1.02
3.233080,0.9705,0.0077,0.2334,1.00
3.251739,0.9197,0.0346,0.2314,0.95
3.268023,0.9260,0.0556,0.2231,0.95
3.291938,0.9725,0.0830,0.2001,1.00
3.313270,0.9862,0.1074,0.1806,1.01
3.332200,0.9867,0.0986,0.1855,1.01
3.350151,0.9818,0.0918,0.2065,1.01
3.374865,0.9749,0.0952,0.2212,1.00
3.392696,0.9612,0.0918,0.2207,0.99
3.414160,0.9476,0.0747,0.2265,0.98
3.432293,0.9544,0.0678,0.2256,0.98
3.450964,0.9686,0.0532,0.2187,0.99
3.475926,0.9715,0.0409,0.2006,0.99
3.491844,0.9627,0.0400,0.2006,0.98
3.512931,0.9608,0.0444,0.2241,0.99
3.532192,0.9593,0.0414,0.2329,0.99
3.550673,0.9539,0.0380,0.2256,0.98
3.575052,0.9632,0.0395,0.2109,0.99
3.591960,0.9696,0.0439,0.2084,0.99
3.614180,0.9686,0.0453,0.2119,0.99
3.632677,0.9637,0.0444,0.2133,0.99
3.658553,0.9588,0.0380,0.2275,0.99
3.674175,0.9578,0.0361,0.2300,0.99
3.692942,0.9568,0.0444,0.2270,0.98
