time,gFx,gFy,gFz,TgF
0.005736,0.9769,0.0488,-0.2193,1.00
0.017519,0.9759,0.0541,-0.2247,1.00
0.043351,0.9388,0.0845,-0.2359,0.97
0.065958,0.9573,0.0517,-0.2237,0.98
0.077431,0.9803,0.0463,-0.2208,1.01
0.100784,0.9441,0.0321,-0.2144,0.97
0.117092,0.9515,0.0317,-0.2237,0.98
0.142846,0.9627,0.0375,-0.2223,0.99
0.159448,0.9642,0.0478,-0.2183,0.99
0.183970,0.9617,0.0537,-0.2130,0.99
0.199855,0.9612,0.0566,-0.2208,0.99
0.225634,0.9568,0.0625,-0.2267,0.99
0.242798,0.9578,0.0610,-0.2247,0.99
0.266119,0.9568,0.0527,-0.2193,0.98
0.283310,0.9598,0.0507,-0.2154,0.98
0.299708,0.9632,0.0439,-0.2144,0.99
0.325372,0.9603,0.0434,-0.2120,0.98
0.343591,0.9578,0.0449,-0.2139,0.98
0.366063,0.9534,0.0473,-0.2139,0.98
0.383870,0.9505,0.0527,-0.2125,0.98
0.400583,0.9490,0.0551,-0.2135,0.97
0.425824,0.9564,0.0532,-0.2174,0.98
0.443297,0.9637,0.0532,-0.2257,0.99
0.463153,0.9647,0.0517,-0.2227,0.99
0.483697,0.9588,0.0581,-0.2252,0.99
0.507831,0.9612,0.0615,-0.2252,0.99
0.525304,0.9564,0.0595,-0.2193,0.98
0.550851,0.9490,0.0566,-0.2174,0.98
0.568959,0.9466,0.0497,-0.2149,0.97
0.583788,0.9461,0.0424,-0.2159,0.97
0.608142,0.9534,0.0351,-0.2125,0.98
0.624940,0.9612,0.0321,-0.2100,0.98
0.650800,0.9617,0.0351,-0.2183,0.99
0.671916,0.9627,0.0268,-0.1983,0.98
0.691617,0.9647,0.0263,-0.2032,0.99
0.708063,0.9622,0.0351,-0.2340,0.99
0.733300,0.9554,0.0561,-0.2516,0.99
0.751096,0.9471,0.0722,-0.2320,0.98
0.772090,0.9388,0.0771,-0.1993,0.96
0.791446,0.9402,0.0737,-0.1959,0.96
0.808050,0.9505,0.0605,-0.2047,0.97
0.833112,0.9642,0.0483,-0.2330,0.99
0.849983,0.9740,0.0512,-0.2423,1.00
0.869826,0.9764,0.0571,-0.2428,1.01
0.891243,0.9715,0.0615,-0.2330,1.00
0.907905,0.9647,0.0615,-0.2262,0.99
0.932920,0.9539,0.0502,-0.2159,0.98
0.950988,0.9510,0.0453,-0.2120,0.98
0.969611,0.9568,0.0414,-0.2095,0.98
0.991266,0.9598,0.0414,-0.2159,0.98
1.010510,0.9637,0.0434,-0.2227,0.99
1.032880,0.9603,0.0375,-0.2164,0.99
1.051982,0.9500,0.0351,-0.2076,0.97
1.073692,0.9505,0.0356,-0.2086,0.97
1.091157,0.9632,0.0361,-0.2115,0.99
1.115815,0.9637,0.0390,-0.2110,0.99
1.132631,0.9608,0.0424,-0.2110,0.98
1.163315,0.9627,0.0380,-0.2159,0.99
1.173164,0.9612,0.0395,-0.2149,0.99
1.192991,0.9588,0.0434,-0.2179,0.98
1.216602,0.9564,0.0541,-0.2237,0.98
1.234010,0.9568,0.0556,-0.2247,0.98
1.263591,0.9588,0.0576,-0.2169,0.98
1.274474,0.9588,0.0556,-0.2183,0.98
1.299585,0.9603,0.0502,-0.2149,0.99
1.317492,0.9637,0.0449,-0.2169,0.99
1.340711,0.9485,0.0380,-0.2105,0.97
1.363635,0.9476,0.0390,-0.2105,0.97
1.374335,0.9534,0.0424,-0.2105,0.98
1.399414,0.9539,0.0561,-0.2125,0.98
1.416432,0.9471,0.0566,-0.2110,0.97
