time,gFx,gFy,gFz,TgF
0.007162,0.9652,0.0268,-0.2042,0.99
0.018011,0.9500,0.0321,-0.1993,0.97
0.044152,0.9559,0.0287,-0.2032,0.98
0.059472,0.9661,0.0263,-0.2066,0.99
0.084574,0.9583,0.0317,-0.2110,0.98
0.102186,0.9510,0.0312,-0.2110,0.97
0.126669,0.9534,0.0336,-0.2066,0.98
0.142228,0.9603,0.0365,-0.2105,0.98
0.159398,0.9647,0.0312,-0.2120,0.99
0.185148,0.9583,0.0233,-0.2047,0.98
0.201407,0.9583,0.0209,-0.2017,0.98
0.231637,0.9666,0.0199,-0.2139,0.99
0.249700,0.9671,0.0189,-0.2076,0.99
0.262104,0.9700,0.0189,-0.2032,0.99
0.285189,0.9647,0.0189,-0.2081,0.99
0.302293,0.9495,0.0233,-0.2110,0.97
0.326243,0.9182,0.0209,-0.1866,0.94
0.343392,0.9177,0.0189,-0.1827,0.94
0.370723,0.9564,0.0356,-0.1729,0.97
0.385780,1.0008,0.0405,-0.1773,1.02
0.410325,1.0140,0.0414,-0.1875,1.03
0.426654,0.9793,0.0497,-0.1836,1.00
0.443490,0.9412,0.0439,-0.1729,0.96
0.472123,0.9221,0.0067,-0.1660,0.94
0.485342,0.8972,0.0224,-0.1841,0.92
0.509908,0.8615,0.0141,-0.1983,0.88
0.528386,0.8376,0.0145,-0.2379,0.87
0.544435,0.8649,0.0713,-0.2188,0.90
0.582610,0.9744,0.1749,-0.1646,1.00
0.586387,0.9852,0.1744,-0.1680,1.01
0.610237,1.0600,0.1167,-0.2403,1.09
0.627660,1.0551,0.0879,-0.2545,1.09
0.653377,1.0649,0.0253,-0.1959,1.08
0.679445,1.0639,-0.0280,-0.1900,1.08
0.693867,1.0131,-0.0099,-0.2110,1.03
0.709589,0.9603,0.0155,-0.1919,0.98
0.727218,0.9138,0.0297,-0.1709,0.93
0.753277,0.8615,0.0111,-0.2032,0.89
0.776124,0.8845,0.0116,-0.2413,0.92
0.794051,0.9446,0.0395,-0.2619,0.98
0.809748,0.9676,0.0771,-0.2491,1.00
0.834314,0.9402,0.1241,-0.2135,0.97
0.851603,0.9344,0.1172,-0.2066,0.96
0.878306,0.9285,0.0737,-0.2169,0.96
0.893148,0.9392,0.0395,-0.2203,0.97
0.908848,0.9510,0.0170,-0.2125,0.97
0.934074,0.9466,0.0072,-0.1929,0.97
0.953261,0.9422,0.0365,-0.1675,0.96
0.978939,0.9256,0.0713,-0.1533,0.94
0.993110,0.9104,0.0629,-0.1597,0.93
1.009941,0.9109,0.0517,-0.1499,0.92
1.034265,0.9275,0.0571,-0.1426,0.94
1.052602,0.9637,0.0620,-0.1670,0.98
1.077310,1.0624,0.1069,-0.2403,1.09
1.092662,1.1143,0.1299,-0.2179,1.14
1.117711,1.1558,0.0933,-0.1802,1.17
1.133257,1.1592,0.0273,-0.1357,1.17
1.151390,1.1656,-0.0167,-0.1836,1.18
