time,gFx,gFy,gFz,TgF
0.004796,0.9798,0.0414,-0.1631,0.99
0.022453,0.9441,0.0458,-0.1440,0.96
0.044382,0.9480,0.0243,-0.1475,0.96
0.068906,0.9490,0.0057,-0.1611,0.96
0.084225,0.9652,0.0087,-0.1572,0.98
0.108787,0.9720,0.0160,-0.1607,0.99
0.127042,0.9832,0.0282,-0.1533,1.00
0.143919,0.9451,0.0087,-0.1489,0.96
0.168915,1.0268,-0.0089,-0.1303,1.04
0.193918,0.9647,0.0321,-0.1592,0.98
0.208536,0.9593,0.0341,-0.1435,0.97
0.226535,0.9495,0.0370,-0.1362,0.96
0.244156,0.9627,0.0326,-0.1670,0.98
0.270242,0.9818,0.0268,-0.2022,1.00
0.292847,0.9925,0.0282,-0.2012,1.01
0.306582,0.9867,0.0145,-0.2051,1.01
0.328156,0.9696,0.0141,-0.1655,0.98
0.351092,0.9353,0.0214,-0.1577,0.95
0.369935,0.9358,0.0243,-0.1602,0.95
0.390092,0.9632,0.0175,-0.1743,0.98
0.409989,0.9803,0.0214,-0.1885,1.00
0.426310,0.9857,0.0238,-0.1890,1.00
0.451201,0.9622,0.0180,-0.1719,0.98
0.470646,0.9319,0.0009,-0.1572,0.95
0.489775,0.9207,-0.0211,-0.1543,0.93
0.509107,0.9158,-0.0417,-0.1509,0.93
0.536244,0.8996,-0.0759,-0.1523,0.92
0.552790,0.8977,-0.0886,-0.1387,0.91
0.568918,0.9021,-0.0935,-0.1255,0.92
0.590392,0.9520,-0.0950,-0.1299,0.97
0.608630,0.9999,-0.0754,-0.1538,1.01
0.634665,1.0844,-0.0334,-0.1695,1.10
0.651316,1.1079,0.0033,-0.1719,1.12
0.670641,1.0986,0.0370,-0.1753,1.11
0.691730,1.0448,0.0502,-0.1621,1.06
0.709465,0.9935,0.0297,-0.1450,1.00
0.734860,0.9681,-0.0114,-0.1533,0.98
0.752122,0.9617,-0.0304,-0.1651,0.98
0.776882,0.9495,-0.0299,-0.1753,0.97
0.808837,0.9202,-0.0412,-0.1514,0.93
0.810898,0.9182,-0.0427,-0.1475,0.93
0.835053,0.9080,-0.0617,-0.1284,0.92
0.852393,0.9158,-0.0700,-0.1274,0.93
0.876896,0.8943,-0.0519,-0.1299,0.91
0.906517,0.7921,-0.0026,-0.1406,0.80
0.918082,0.7466,0.0048,-0.1514,0.76
0.934691,0.6831,0.0101,-0.1533,0.70
0.961781,0.6674,0.0585,-0.1387,0.68
0.977034,0.7422,0.0732,-0.1030,0.75
1.006691,0.8967,0.0375,0.0041,0.90
1.016749,0.9192,-0.0060,0.0173,0.92
1.035328,0.9153,-0.0842,0.0148,0.92
1.060163,0.9099,-0.0808,-0.0018,0.91
