time,gFx,gFy,gFz,TgF
0.012201,0.9652,0.0434,-0.1343,0.98
0.034762,0.9334,0.0483,-0.1470,0.95
0.049917,0.9466,0.0390,-0.1489,0.96
0.077202,0.9534,0.0101,-0.2320,0.98
0.100194,1.0170,0.0189,-0.1734,1.03
0.117984,0.9935,0.0229,-0.1719,1.01
0.134336,0.9710,0.0243,-0.1597,0.98
0.151674,0.9549,0.0414,-0.1675,0.97
0.175602,0.9828,0.0273,-0.1695,1.00
0.193566,0.9798,0.0248,-0.1563,0.99
0.217488,0.9637,-0.0016,-0.1035,0.97
0.234405,0.9510,0.0004,-0.1079,0.96
0.260429,0.9539,-0.0353,-0.1753,0.97
0.275480,0.9691,-0.0172,-0.1763,0.99
0.301555,1.0204,-0.0387,-0.2359,1.05
0.317497,1.0028,-0.0221,-0.2345,1.03
0.334213,0.9402,0.0497,-0.2051,0.96
0.363394,0.8806,0.0253,-0.1685,0.90
0.374794,0.8864,0.0013,-0.1646,0.90
0.400132,0.9221,-0.0172,-0.1880,0.94
0.418826,0.9671,-0.0314,-0.1758,0.98
0.445596,1.0194,-0.0656,-0.1680,1.04
0.458926,1.0341,-0.0749,-0.1655,1.05
0.483829,1.0253,-0.0510,-0.1954,1.04
0.501801,1.0170,-0.0343,-0.2560,1.05
0.517970,1.0209,-0.0554,-0.2565,1.05
0.546949,0.9671,-0.0642,-0.1680,0.98
0.557398,0.9568,-0.0647,-0.1665,0.97
0.584742,0.9314,-0.0612,-0.1685,0.95
0.603139,0.9290,-0.0681,-0.1768,0.95
0.617626,0.9246,-0.0666,-0.1748,0.94
0.642852,0.9461,-0.0739,-0.1626,0.96
0.667583,0.9588,-0.0827,-0.1812,0.98
0.683488,0.9539,-0.0827,-0.1905,0.98
0.700270,0.9495,-0.0769,-0.2017,0.97
0.725308,0.9564,-0.0915,-0.2017,0.98
0.743650,0.9769,-0.0935,-0.2081,1.00
0.768187,0.9656,-0.0803,-0.1724,0.98
0.783011,0.9383,-0.0720,-0.1475,0.95
0.800460,0.9329,-0.0788,-0.1240,0.94
0.825242,0.9593,-0.0808,-0.1235,0.97
0.843919,0.9710,-0.0544,-0.1611,0.99
0.868981,0.9696,-0.0031,-0.1807,0.99
0.883385,0.9779,0.0106,-0.1709,0.99
0.909298,0.9950,0.0009,-0.2252,1.02
0.927225,0.9754,-0.0431,-0.3142,1.03
0.943271,1.0258,-0.1219,-0.3127,1.08
0.965265,0.9969,-0.0969,-0.3396,1.06
0.984942,0.8879,0.0449,-0.3733,0.96
1.009165,0.8097,0.1417,-0.3430,0.89
1.027145,0.8410,0.1045,-0.2883,0.90
1.056590,0.9872,0.0189,-0.2364,1.02
1.066084,1.0375,-0.0040,-0.2565,1.07
1.092900,1.1822,-0.0774,-0.3709,1.24
1.107991,1.1656,-0.0818,-0.3562,1.22
1.124987,1.0483,-0.0231,-0.3147,1.09
1.155761,0.8723,0.1534,-0.2056,0.91
1.170423,0.8141,0.1676,-0.1748,0.85
1.190921,0.7916,0.1363,-0.1519,0.82
1.208318,0.8351,0.0942,-0.1558,0.85
1.233056,0.9290,0.0385,-0.2120,0.95
1.253887,0.9969,0.0092,-0.2320,1.02
1.267027,1.0077,0.0028,-0.2252,1.03
1.291732,0.9500,0.0277,-0.1743,0.97
1.308514,0.8801,0.0659,-0.1455,0.89
1.333807,0.8537,0.0942,-0.1538,0.87
1.355311,0.9177,0.0967,-0.1817,0.94
1.373734,0.9720,0.0972,-0.1929,1.00
1.392617,1.0180,0.0923,-0.1841,1.04
1.416999,1.0258,0.0801,-0.1709,1.04
1.435333,0.9955,0.0717,-0.1699,1.01
1.455798,0.9759,0.0473,-0.1548,0.99
1.474769,1.0356,0.0556,-0.1831,1.05
1.490672,1.1196,0.0732,-0.2296,1.15
1.514884,1.1739,0.1055,-0.3117,1.22
